id,conversation_id,message,intent,expected_action,difficulty,evidence_available,notes
gold_187,gold_conv_187,"Just wanted to say shoutout to whoever packed my order, great job!",unknown_other,AUTO_HANDLE,EASY,TRUE,Compliment / positive feedback.
gold_188,gold_conv_188,Can you guys sell pet tigers in the future? Asking for a friend haha.,unknown_other,AUTO_HANDLE,MEDIUM,FALSE,Joke / nonsensical inquiry.
gold_189,gold_conv_189,What is the meaning of life?,unknown_other,AUTO_HANDLE,MEDIUM,FALSE,Philosophical query.
gold_190,gold_conv_190,Testing 1 2 3.,unknown_other,AUTO_HANDLE,EASY,FALSE,Test message.
gold_191,gold_conv_191,Good morning team!,unknown_other,AUTO_HANDLE,EASY,TRUE,Morning greeting.
gold_192,gold_conv_192,Why is the sky blue?,unknown_other,AUTO_HANDLE,MEDIUM,FALSE,Out of domain trivia.
gold_193,gold_conv_193,👍,unknown_other,AUTO_HANDLE,EASY,FALSE,Single emoji.
gold_194,gold_conv_194,Anybody working right now?,unknown_other,AUTO_HANDLE,EASY,TRUE,Availability check.
gold_195,gold_conv_195,Check your DMs please.,unknown_other,AUTO_HANDLE,MEDIUM,TRUE,Meta DM notification without topic.
gold_196,gold_conv_196,Hey,unknown_other,AUTO_HANDLE,EASY,TRUE,One word greeting.
gold_197,gold_conv_197,asdfghjk,unknown_other,AUTO_HANDLE,EASY,FALSE,Gibberish string.
gold_198,gold_conv_198,Do you like pineapple on pizza?,unknown_other,AUTO_HANDLE,MEDIUM,FALSE,Casual banter.
gold_199,gold_conv_199,Can someone help me?,unknown_other,AUTO_HANDLE,EASY,TRUE,Vague help plea with no topic.
gold_200,gold_conv_200,?,unknown_other,AUTO_HANDLE,EASY,FALSE,Single punctuation mark.
